grid_key,lat_center,lon_center,jun_sep_total_2014_mm,jun_sep_total_2015_mm,jun_sep_total_2016_mm,jun_sep_total_2017_mm,jun_sep_total_2018_mm,jun_sep_total_2019_mm,jun_sep_total_2020_mm,jun_sep_total_2021_mm,jun_sep_total_2022_mm,jun_sep_total_2023_mm,jun_sep_total_2024_mm,avg_jun_sep_2014_2024_mm,score_1_10
13.475_35.975,13.475,35.975001,628.846,558.655,673.732,726.887,679.85,755.967,693.3,791.829,754.13,571.432,697.51,684.74,10
13.475_36.025,13.475,36.025001,625.741,548.47,678.114,716.824,677.24,761.985,690.815,793.529,753.042,575.388,697.543,683.517,10
13.475_36.075,13.475,36.075001,631.46,563.279,677.417,721.456,680.812,761.497,701.777,807.632,758.19,596.5,701.444,691.042,10
13.425_35.825,13.425,35.825001,609.361,570.121,681.493,689.36,657.103,719.842,671.858,764.839,739.606,552.313,637.482,663.034,10
13.425_35.875,13.425,35.875001,629.981,581.239,704.777,731.822,691.344,758.341,700.74,800.782,765.453,564.991,687.512,692.453,10
13.425_35.925,13.425,35.925001,619.446,569.647,686.859,718.633,672.679,731.523,693.276,780.107,746.293,560.619,685.448,678.594,10
13.425_35.975,13.425,35.975001,641.131,597.223,721.161,743.651,707.767,778.512,729.511,818.359,783.939,595.444,715.922,712.056,10
13.425_36.025,13.425,36.025001,639.947,588.123,710.277,746.287,696.928,779.458,713.289,819.322,773.745,597.307,716.298,707.362,10
13.425_36.075,13.425,36.075001,646.282,589.624,715.078,746.937,694.094,771.771,713.23,835.936,780.94,600.386,722.354,710.603,10
13.375_35.725,13.375,35.725001,596.43,571.537,648.11,686.469,647.977,713.396,649.083,735.443,718.992,533.312,616.608,647.032,10
13.375_35.775,13.375,35.775001,588.349,551.382,654.197,685.578,647.687,719.383,653.195,740.374,713.677,524.408,626.023,645.841,10
13.375_35.825,13.375,35.825001,614.937,579.695,678.204,701.944,679.373,740.33,682.839,765.614,735.473,550.407,641.566,670.035,10
13.375_35.875,13.375,35.875001,630.627,598.442,708.317,734.725,710.534,765.515,712.148,800.188,756.759,565.375,669.271,695.627,10
13.375_35.925,13.375,35.925001,628.317,593.714,704.962,736.455,704.886,765.501,712.838,791.631,754.828,561.902,668.598,693.057,10
13.375_35.975,13.375,35.975001,663.864,625.322,751.812,781.183,738.237,798.25,754.168,834.535,781.612,611.454,725.851,733.299,10
13.375_36.025,13.375,36.025001,641.687,609.345,726.165,770.783,711.758,782.044,728.237,814.931,762.936,598.825,707.99,714.064,10
13.375_36.075,13.375,36.075001,657.416,608.357,734.339,771.349,715.075,782.955,731.407,823.609,761.592,598.56,708.443,717.555,10
13.375_36.125,13.375,36.125001,704.295,643.082,772.938,816.312,762.85,845.44,779.829,887.267,820.373,638.619,773.414,767.674,10
13.325_35.725,13.325,35.725001,611.252,579.958,660.515,706.111,665.122,731.72,679.627,747.824,730.077,539.3,621.481,661.181,10
13.325_35.775,13.325,35.775001,608.102,570.091,659.854,712.391,666.611,739.882,683.234,755.161,722.511,545.526,634.713,663.461,10
13.325_35.825,13.325,35.825001,622.823,592.026,688.138,732.219,687.542,767.257,703.175,775.398,745.781,566.394,664.975,685.975,10
13.325_35.875,13.325,35.875001,615.719,599.23,691.136,720.347,690.722,758.807,705.15,779.26,746.313,567.192,655.286,684.469,10
13.325_35.925,13.325,35.925001,631.557,604.332,718.337,753.353,714.229,776.563,728.383,808.774,763.333,586.249,683.365,706.225,10
13.325_35.975,13.325,35.975001,674.12,642.32,763.637,797.933,751.194,815.005,774.363,858.621,800.069,618.743,727.872,747.625,10
13.325_36.025,13.325,36.025001,654.2,608.859,735.209,782.328,722.543,783.81,748.843,839.298,776.405,600.464,703.086,723.186,10
13.325_36.075,13.325,36.075001,657.331,612.938,737.977,799.13,730.74,795.691,752.05,832.045,781.58,609.926,722.062,730.134,10
13.325_36.125,13.325,36.125001,711.404,652.205,781.622,840.154,778.463,858.068,793.241,890.823,833.234,652.263,796.14,780.692,10
13.275_35.725,13.275,35.725001,610.35,578.542,658.361,715.665,665.041,736.623,692.482,744.217,710.227,547.517,618.041,661.551,10
13.275_35.775,13.275,35.775001,595.332,574.247,657.915,709.953,661.761,739.492,693.288,756.103,711.798,543.282,625.489,660.787,10
13.275_35.825,13.275,35.825001,625.461,593.058,682.173,722.992,671.145,763.362,711.118,772.055,735.054,557.662,639.995,679.461,10
13.275_35.875,13.275,35.875001,625.183,605.474,698.486,726.191,689.822,773.808,719.978,787.163,750.608,565.722,656.784,690.838,10
13.275_35.925,13.275,35.925001,650.008,629.638,744.657,769.294,719.893,801.648,764.154,833.819,780.417,604.542,687.782,725.987,10
13.275_35.975,13.275,35.975001,680.077,650.261,765.837,798.865,742.593,816.983,790.998,858.516,805.804,618.936,725.051,750.357,10
13.275_36.025,13.275,36.025001,663.078,624.758,742.596,778.682,734.38,790.781,766.686,843.624,780.487,599.59,700.232,729.536,10
13.275_36.075,13.275,36.075001,677.935,633.138,749.502,793.835,749.126,809.316,773.778,859.635,793.978,614.967,725.819,743.73,10
13.275_36.125,13.275,36.125001,725.914,677.383,792.556,848.153,789.673,862.475,812.313,918.893,857.728,667.581,808.142,796.437,10
13.275_36.175,13.275,36.175001,766.852,722.851,834.016,904.047,827.219,916.701,855.121,976.352,904.305,704.414,852.21,842.19,10
13.225_35.775,13.225,35.775001,608.335,576.645,662.6,704.727,660.204,738.825,700.342,759.218,711.475,549.844,630.102,663.847,10
13.225_35.825,13.225,35.825001,611.418,581.909,669.074,708.496,663.04,743.373,713.554,764.826,710.069,556.15,623.446,667.76,10
13.225_35.875,13.225,35.875001,631.258,605.332,704.237,737.877,681.4,774.301,734.969,803.019,746.957,576.296,647.043,694.79,10
13.225_35.925,13.225,35.925001,666.0,632.532,751.825,775.532,714.646,810.997,769.772,859.494,782.641,615.545,687.172,733.287,10
13.225_35.975,13.225,35.975001,686.614,661.731,780.142,793.931,737.416,832.418,796.777,883.582,809.525,638.351,724.111,758.6,10
13.225_36.025,13.225,36.025001,646.598,622.337,727.492,760.612,710.045,783.577,767.908,835.98,769.445,602.597,702.518,720.828,10
13.225_36.075,13.225,36.075001,672.07,638.88,736.609,786.258,732.695,787.985,783.645,853.49,788.409,615.266,726.167,738.316,10
13.175_35.775,13.175,35.775001,605.227,578.859,671.501,711.14,648.929,755.556,699.82,769.536,711.294,553.041,627.385,666.572,10
13.175_35.825,13.175,35.825001,616.507,592.885,684.813,716.651,656.873,755.746,716.0,793.004,720.467,566.318,630.1,677.215,10
13.175_35.875,13.175,35.875001,642.654,614.987,725.551,751.564,685.617,785.497,749.717,829.696,760.731,601.73,663.556,710.118,10
13.175_35.925,13.175,35.925001,680.406,638.284,755.774,782.889,721.869,828.199,781.532,862.609,788.539,622.205,704.576,742.444,10
13.175_35.975,13.175,35.975001,708.609,674.66,795.209,814.236,750.77,850.324,820.482,891.823,821.819,643.257,747.248,774.403,10
13.125_35.775,13.125,35.775001,604.923,569.951,676.738,710.125,639.986,744.47,696.488,762.246,701.122,550.199,610.923,660.652,10
13.125_35.825,13.125,35.825001,624.269,586.349,687.766,717.119,653.044,766.75,718.328,787.611,712.403,561.397,631.641,676.971,10
13.125_35.875,13.125,35.875001,646.038,612.954,727.63,750.651,694.048,807.373,771.743,815.285,764.006,603.209,671.545,714.953,10
