grid_key,score_1_10
13.475_35.975,10
13.475_36.025,10
13.475_36.075,10
13.425_35.825,10
13.425_35.875,10
13.425_35.925,10
13.425_35.975,10
13.425_36.025,10
13.425_36.075,10
13.375_35.725,10
13.375_35.775,10
13.375_35.825,10
13.375_35.875,10
13.375_35.925,10
13.375_35.975,10
13.375_36.025,10
13.375_36.075,10
13.375_36.125,10
13.325_35.725,10
13.325_35.775,10
13.325_35.825,10
13.325_35.875,10
13.325_35.925,10
13.325_35.975,10
13.325_36.025,10
13.325_36.075,10
13.325_36.125,10
13.275_35.725,10
13.275_35.775,10
13.275_35.825,10
13.275_35.875,10
13.275_35.925,10
13.275_35.975,10
13.275_36.025,10
13.275_36.075,10
13.275_36.125,10
13.275_36.175,10
13.225_35.775,10
13.225_35.825,10
13.225_35.875,10
13.225_35.925,10
13.225_35.975,10
13.225_36.025,10
13.225_36.075,10
13.175_35.775,10
13.175_35.825,10
13.175_35.875,10
13.175_35.925,10
13.175_35.975,10
13.125_35.775,10
13.125_35.825,10
13.125_35.875,10
